YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
2006,2.41,NA,2.7,2.65
2006,19.23,13.34,13.96,13.46
2006,2.63,1.13,3.36,NA
2006,NA,NA,1.43,NA
2006,NA,NA,11.8,NA
2006,NA,NA,16.44,NA
2006,NA,NA,27.72,NA
2006,16.37,17.31,16.52,16.57
2006,2.89,2.02,2.67,2.85
2006,28.37,21.78,21.75,21.8
2006,2.03,0.2,1.77,1.7
2006,13.71,7.67,14.21,9.45
2006,8.61,6.21,9.16,11.2
2006,4.19,2.22,4.58,10.47
2006,13.66,11.01,13.72,12.52
2006,24.35,23.09,25,23.85
2005,27.99,26.43,23.4,NA
2005,12.02,NA,12.02,NA
2005,32.07,29.29,29.12,NA
2005,32.04,26.25,23.4,NA
2005,8.4,7.9,4.25,NA
2005,9.62,8.87,5.45,NA
2005,25.75,23.42,23.3,24.02
2005,6.92,7.75,0.57,6.5
2005,1.08,2.18,1.64,NA
2005,15.82,15.12,14.95,NA
2005,14.17,15.02,9.95,NA
2005,15.95,14.9,9.45,6.5
2005,2.06,2.66,1.7,2.74
2005,2.4,2.81,2.4,2.56
2005,22.73,18.62,19,NA
2005,4.94,1.82,0.85,3.38
2005,6.82,4.9,1.87,6.16
2005,18.59,16.93,14.76,NA
2005,5.85,5.48,1.27,5.99
2005,2.57,3.74,2.1,2.95
2004,NA,32.76,26.44,35.8
2004,27.96,28.27,26.5,28.1
2004,2.15,2.3,2.05,2.1
2004,8.77,9.57,7.54,9.67
2004,1.55,3.55,1.08,2.25
2004,14.92,20.68,14.43,19.4
2004,8.23,10.17,7.8,9.8
2004,18.43,18.65,19.1,19.8
2004,17.36,23.2,14.53,20.97
2004,NA,22.68,23.38,24.3
2004,1.83,2.34,1.67,1.87
2004,18.6,19.78,16.71,20.46
2004,NA,NA,20.2,NA
2004,15.25,21.87,10,15.6
2004,6.29,6.92,2.98,7.02
2004,31.31,31,28.78,31.97
2004,1.67,2.3,2.39,3.06
2004,2.87,3.9,2.74,2.65
2004,5.29,7.17,4.17,5.62
2003,NA,8.2,NA,NA
2003,NA,20.91,NA,NA
2003,NA,2.28,NA,NA
2003,NA,18.68,NA,NA
2003,NA,5.1,NA,NA
2003,NA,4.98,NA,NA
2003,NA,26.91,NA,NA
2003,NA,18.95,NA,NA
2003,6.42,6.66,7.88,NA
2003,NA,25.06,NA,NA
2003,11.08,NA,NA,11.9
2003,NA,24.29,NA,NA
2003,2.65,3.7,3.4,4
2003,6.37,4.88,5.67,7.47
2003,NA,17.3,NA,NA
2003,8,5.12,18.91,7.45
2003,3.31,1.95,2.03,3.68
2003,NA,15.66,NA,NA
2003,1.8,2.4,1.46,2.1
2003,2.01,2.64,1.65,2.75
2003,3.35,14.69,1.14,8.16
2002,5.5,NA,5,4.92
2002,8.76,2.48,10.4,13.48
2002,19.65,NA,20.17,18.78
2002,NA,NA,2.34,2.67
2002,17.85,NA,18.27,7.46
2002,NA,NA,NA,6.96
2002,6.68,NA,6.27,7.83
2002,4.45,5.43,3.75,3.2
2002,7.95,NA,NA,4.68
2002,22.21,NA,23.54,22.9
2002,17.42,13.13,18.55,16.45
2002,5.38,4.1,5.08,7.9
2002,12.74,NA,24.65,21.32
2002,NA,7.26,NA,8.66
2002,21.44,NA,24.5,22.53
2002,3.35,3.26,2.8,2.9
2002,4.76,2.67,3.77,5.27
2002,17.38,NA,17.41,16.48
2002,5.78,3.99,3.77,5.73
2002,1.98,NA,1.1,3.14
2002,15.47,NA,15.45,15.2
2002,NA,3.4,2.25,3.5
2002,2.35,NA,2.2,2.35
2002,16.3,NA,16.68,16
2001,16.08,12.53,13.13,13.35
2001,8.7,9.53,6.33,14.41
2001,2.1,NA,1.42,2.41
2001,17.6,15.29,16.39,15.58
2001,20.59,14.79,NA,NA
2001,NA,5.96,5.71,2.25
2001,6.35,4.95,NA,6.51
2001,2.3,2.25,1.84,3.47
2001,NA,14.5,NA,16.59
2001,16.35,12.77,14.07,15.88
2001,4.04,3.33,2.86,5.17
2001,NA,25.31,24.42,25.12
2001,9.4,6.88,6.9,NA
2001,NA,21.54,20.99,23.11
2001,5.11,2.81,2.67,4.45
2001,3.11,3.5,2.76,3.59
2001,4.15,3.13,1.87,4.77
2001,14.8,12.68,14.28,23.88
2001,3.37,3.39,3.03,4.8
2001,2.11,1.64,1.02,2.8
2001,15.56,13.98,14.14,NA
2001,3.12,3.07,2.64,2.87
2001,2.34,2.36,1.09,2.48
2001,17.07,13.78,NA,16.55
2000,NA,NA,12.15,16.08
2000,9.26,2.38,8.38,3.91
2000,NA,NA,13.6,17.03
2000,17.66,NA,16.61,17.85
2000,NA,6.28,NA,NA
2000,2.42,2.4,1.4,NA
2000,NA,NA,2.99,NA
2000,NA,NA,NA,16.9
2000,15.55,12.96,13.35,NA
2000,5.13,4.03,1.9,5.45
2000,NA,NA,NA,34.32
2000,9.15,9.88,5.64,NA
2000,NA,NA,21.67,NA
